example_id                                                | status | run_time        |
./spec/models/piece_spec.rb[1:6]                          | passed | 0.00686 seconds |
./spec/models/piece_spec.rb[1:7:1]                        | passed | 0.003 seconds   |
./spec/models/piece_spec.rb[1:7:2]                        | passed | 0.0038 seconds  |
./spec/models/piece_spec.rb[1:8:1]                        | passed | 0.10513 seconds |
./spec/models/piece_spec.rb[1:8:2]                        | passed | 0.14584 seconds |
./spec/models/piece_spec.rb[1:9:1]                        | passed | 0.00285 seconds |
./spec/models/piece_spec.rb[1:10:1]                       | passed | 0.15113 seconds |
./spec/models/piece_spec.rb[1:10:2]                       | passed | 0.13277 seconds |
./spec/models/piece_spec.rb[1:10:3]                       | passed | 0.14642 seconds |
./spec/models/piece_spec.rb[1:11:1]                       | passed | 0.09828 seconds |
./spec/models/piece_spec.rb[1:11:2]                       | passed | 0.09432 seconds |
./spec/models/piece_spec.rb[1:12:1]                       | passed | 0.41476 seconds |
./spec/models/piece_spec.rb[1:12:2]                       | passed | 0.13906 seconds |
./spec/models/piece_spec.rb[1:12:3]                       | passed | 0.19424 seconds |
./spec/models/piece_spec.rb[1:12:4]                       | passed | 0.14031 seconds |
./spec/models/piece_spec.rb[1:13:1]                       | passed | 0.13431 seconds |
./spec/models/piece_spec.rb[1:13:2]                       | passed | 0.15699 seconds |
./spec/models/piece_spec.rb[1:13:3]                       | passed | 0.17125 seconds |
./spec/models/piece_spec.rb[1:13:4]                       | passed | 0.21136 seconds |
./spec/models/piece_spec.rb[1:13:5]                       | passed | 0.18343 seconds |
./spec/models/piece_spec.rb[1:13:6]                       | passed | 0.16275 seconds |
./spec/models/piece_spec.rb[1:13:7]                       | passed | 0.16036 seconds |
./spec/models/piece_spec.rb[1:13:8]                       | passed | 0.16278 seconds |
./spec/models/piece_spec.rb[1:14:1]                       | passed | 0.0047 seconds  |
./spec/models/piece_spec.rb[1:14:2]                       | passed | 0.00832 seconds |
./spec/models/piece_spec.rb[1:14:3]                       | passed | 0.00294 seconds |
./spec/models/queen_spec.rb[1:1:1]                        | passed | 0.00608 seconds |
./spec/models/queen_spec.rb[1:1:2]                        | passed | 0.00566 seconds |
./spec/models/queen_spec.rb[1:1:3]                        | passed | 0.00387 seconds |
./spec/models/queen_spec.rb[1:1:4]                        | passed | 0.00474 seconds |
./spec/models/rook_spec.rb[1:1:1]                         | passed | 0.00596 seconds |
./spec/models/rook_spec.rb[1:1:2]                         | passed | 0.00558 seconds |
./spec/models/rook_spec.rb[1:1:3]                         | passed | 0.00448 seconds |
./spec/models/user_spec.rb[1:1:1]                         | passed | 0.17613 seconds |
./spec/models/user_spec.rb[1:1:2]                         | passed | 0.19576 seconds |
./spec/models/user_spec.rb[1:2:1]                         | passed | 0.01306 seconds |
